173.949799 206.357864
174.557083 310.246979
174.603912 412.659637
252.678452 230.385086
330.242554 258.332642
282.635498 324.801666
297.426971 443.307220
174.603912 412.659637
238.817337 407.107330
267.602936 345.734955
365.179993 232.875122
397.835602 255.124054
485.961639 229.320007
364.831818 280.542145
457.967468 295.693481
329.761383 356.018219
396.637787 437.544067
442.990082 362.833527
499.122101 270.624786
457.346100 360.606750
0.0  11.0 11.0
0.0  11.0 6.0
0.0  11.0 1.0
0.0  5.0  10.0
0.0  0.0  9.0
0.0  3.0  6.0
0.0  2.0  1.0
0.0  11.0 1.0
0.0  6.0  2.0
0.0  4.0  5.0
2.0  0.0  10.0
4.0  0.0  9.0
10.0 0.0  10.0
2.0  0.0  8.0
7.0  0.0  8.0
0.0  0.0  5.0
4.0  0.0  1.0
7.0  0.0  4.0
11.0 0.0  8.0
8.0  0.0  4.0
