   0.9921000051    0.0530354055    0.1136874032
  -0.0542510389    0.9984982257    0.0076235152
  -0.1131123542   -0.0137309492    0.9934873207
   0.9869182074    0.0657252310    0.1472163232
  -0.0641412920    0.9978206652   -0.0154859507
  -0.1479133072    0.0058407215    0.9889830835
1277.2877281019    0.0000000000  160.4463748932    0.0000000000
   0.0000000000 1277.2877281019  240.7439842224    0.0000000000
   0.0000000000    0.0000000000    1.0000000000    0.0000000000
1277.2877281019    0.0000000000  160.4463748932 -15225.7345050354
   0.0000000000 1277.2877281019  240.7439842224    0.0000000000
   0.0000000000    0.0000000000    1.0000000000    0.0000000000
   1.0000000000    0.0000000000    0.0000000000 -290.4463748932
   0.0000000000    1.0000000000    0.0000000000 -240.7439842224
   0.0000000000    0.0000000000    0.0000000000 1277.2877281019
   0.0000000000    0.0000000000   -0.0838900565   -0.0000000000
